slug,brand_name,total_reports,flag_reason
aspirin-325,ASPIRIN 325,507144,all generic words
aspirin-81,ASPIRIN 81,507144,all generic words
low-dose-aspirin-enteric-safety-coated,LOW DOSE ASPIRIN ENTERIC SAFETY COATED,501638,long name: 6 words
low-dose-aspirin,LOW DOSE ASPIRIN,501638,all generic words
aspirin-low-dose,ASPIRIN LOW DOSE,501116,all generic words
aspirin-enteric-coated,ASPIRIN ENTERIC COATED,500733,all generic words
aspirina-caplets,ASPIRINA CAPLETS,500658,"form word: ""caplets"""
aspirin-regular-strength,ASPIRIN REGULAR STRENGTH,500646,"retail phrase: ""regular strength"" | all generic words"
aspirin-chewable,ASPIRIN CHEWABLE,500640,"form word: ""chewable"" | all generic words"
aspirin,ASPIRIN,500610,all generic words
enteric-aspirin,ENTERIC ASPIRIN,500179,all generic words
enteric-coated-aspirin,ENTERIC COATED ASPIRIN,500148,all generic words
enteric-coated-aspirin-regular-strength,ENTERIC COATED ASPIRIN REGULAR STRENGTH,500148,"retail phrase: ""regular strength"" | long name: 5 words | all generic words"
childrens-aspirin,CHILDRENS ASPIRIN,500096,"retail phrase: ""childrens"" | all generic words"
coated-aspirin,COATED ASPIRIN,500042,all generic words
buffered-aspirin,BUFFERED ASPIRIN,499999,all generic words
adult-low-dose-aspirin,ADULT LOW DOSE ASPIRIN,499994,all generic words
equate-aspirin-chewable,EQUATE ASPIRIN CHEWABLE,499985,"form word: ""chewable"""
chewable-aspirin,CHEWABLE ASPIRIN,499974,"form word: ""chewable"" | all generic words"
bayer-aspirin-regimen-chewable-low-dose-aspirin-orange,BAYER ASPIRIN REGIMEN CHEWABLE LOW DOSE ASPIRIN ORANGE,499967,"form word: ""chewable"" | long name: 8 words"
bayer-aspirin-regimen-enteric-coated,BAYER ASPIRIN REGIMEN ENTERIC COATED,499960,long name: 5 words
aspirin-low-strength,ASPIRIN LOW STRENGTH,499951,all generic words
st-joseph-low-dose-aspirin,ST. JOSEPH LOW DOSE ASPIRIN,499949,long name: 5 words
ecotrin-regular-strength,ECOTRIN REGULAR STRENGTH,499949,"retail phrase: ""regular strength"""
aspirin-delayed-release,ASPIRIN DELAYED RELEASE,499946,all generic words
aspirin-pain-reliver,ASPIRIN PAIN RELIVER,499945,"symptom word: ""pain"""
regular-strength-aspirin,REGULAR STRENGTH ASPIRIN,499945,"retail phrase: ""regular strength"" | all generic words"
low-dose-chewable-aspirin,LOW DOSE CHEWABLE ASPIRIN,499944,"form word: ""chewable"" | all generic words"
extra-strength-aspirin,EXTRA STRENGTH ASPIRIN,499944,"retail phrase: ""extra strength"" | all generic words"
adult-chewable-aspirin,ADULT CHEWABLE ASPIRIN,499943,"form word: ""chewable"" | all generic words"
aspirin-extra-strength,ASPIRIN EXTRA STRENGTH,499942,"retail phrase: ""extra strength"" | all generic words"
chewable-low-dose-aspirin,CHEWABLE LOW DOSE ASPIRIN,499942,"form word: ""chewable"" | all generic words"
adult-low-strength-aspirin,ADULT LOW STRENGTH ASPIRIN,499942,all generic words
low-strength-chewable-aspirin,LOW STRENGTH CHEWABLE ASPIRIN,499942,"form word: ""chewable"" | all generic words"
aspirin-low-dose-chewable-orange,ASPIRIN LOW DOSE CHEWABLE ORANGE,499942,"form word: ""chewable"" | long name: 5 words | all generic words"
equaline-effervescent-pain-reliever,EQUALINE EFFERVESCENT PAIN RELIEVER,499941,"symptom word: ""pain"""
best-choice-effervescent-pain-reliever-36,BEST CHOICE EFFERVESCENT PAIN RELIEVER 36,499941,"symptom word: ""pain"" | long name: 6 words"
st-joseph-chewable-low-dose-aspirin,ST. JOSEPH CHEWABLE LOW DOSE ASPIRIN,499941,"form word: ""chewable"" | long name: 6 words"
bufferin-regular-strength-pain-relief,BUFFERIN REGULAR STRENGTH PAIN RELIEF,499941,"symptom word: ""pain"" | retail phrase: ""regular strength"" | long name: 5 words"
signature-select-effervescent-pain-relief,SIGNATURE SELECT EFFERVESCENT PAIN RELIEF,499941,"symptom word: ""pain"" | long name: 5 words"
