slug,brand_name,total_reports,flag_reason,cat_why
low-dose-aspirin-enteric-safety-coated,"LOW DOSE ASPIRIN ENTERIC SAFETY COATED",501638,"long name: 6 words","flagged, no auto-remove match"
aspirina-caplets,"ASPIRINA CAPLETS",500658,"form word: "caplets"","flagged, no auto-remove match"
st-joseph-low-dose-aspirin,"ST. JOSEPH LOW DOSE ASPIRIN",499949,"long name: 5 words","flagged, no auto-remove match"
st-joseph-chewable-low-dose-aspirin,"ST. JOSEPH CHEWABLE LOW DOSE ASPIRIN",499941,"form word: "chewable" | long name: 6 words","flagged, no auto-remove match"
low-dose-miniprin-enteric-safety-coated,"LOW DOSE MINIPRIN ENTERIC SAFETY COATED",499941,"long name: 6 words","flagged, no auto-remove match"
aspirin-low-dose-safety-coated,"ASPIRIN LOW DOSE SAFETY COATED",499941,"long name: 5 words","flagged, no auto-remove match"
drug-mart-effervescent-pain-relief,"DRUG MART EFFERVESCENT PAIN RELIEF",499941,"symptom word: "pain" | long name: 5 words","flagged, no auto-remove match"
first-aid-direct-chewable-aspirin,"FIRST AID DIRECT CHEWABLE ASPIRIN",499941,"form word: "chewable" | long name: 5 words","flagged, no auto-remove match"
adult-low-dose-pain-reliever,"ADULT LOW DOSE PAIN RELIEVER",499941,"symptom word: "pain" | long name: 5 words","flagged, no auto-remove match"
acid-reducer,"ACID REDUCER",466430,"symptom word: "acid"","flagged, no auto-remove match"
arthritis-pain-reliever,"ARTHRITIS PAIN RELIEVER",272883,"symptom word: "arthritis"","flagged, no auto-remove match"
pain-reliever,"PAIN RELIEVER",247763,"symptom word: "pain"","flagged, no auto-remove match"
pain-reliever-extra-strength,"PAIN RELIEVER EXTRA STRENGTH",247186,"symptom word: "pain" | retail phrase: "extra strength"","flagged, no auto-remove match"
extra-strength-pain-reliever,"EXTRA STRENGTH PAIN RELIEVER",247182,"symptom word: "pain" | retail phrase: "extra strength"","flagged, no auto-remove match"
pain-reliever-childrens,"PAIN RELIEVER CHILDRENS",247090,"symptom word: "pain" | retail phrase: "childrens"","flagged, no auto-remove match"
dolex-children-pain-and-fever,"DOLEX CHILDREN PAIN AND FEVER",247060,"symptom word: "pain" | long name: 5 words","flagged, no auto-remove match"
